views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
15.2K,"2,290",81.6K,12,12,"Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military, Crime, Borders, & ISIS, Judicial Strength & Numbers, Lowest Unemployment for Women & ALL, Massive Tax Cuts, end of Individual Mandate - and so much more. Big 2018!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,2:31 PM,"Jan 20, 2018",954843844402647040,https://www.twitter.com/realDonaldTrump/status/954843844402647040
11.4K,"7,107",59.4K,17,17,"A woman I don’t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington Post saying I kissed her (for two minutes yet) in the lobby of Trump Tower 12 years ago. Never happened! Who would do this in a public space with live security......",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,7:16 AM,"Feb 20, 2018",965968309358333952,https://www.twitter.com/realDonaldTrump/status/965968309358333952
"8,205",796,45.3K,4,4,Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecessary and job killing Regulations!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,1:07 PM,"Feb 24, 2018",967506350283599874,https://www.twitter.com/realDonaldTrump/status/967506350283599874
11.4K,"2,133",61.8K,12,12,I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is approved. Big victory yesterday with ruling from the courts that allows us to proceed. OUR COUNTRY MUST HAVE BORDER SECURITY!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:29 AM,"Feb 28, 2018",968825596133478400,https://www.twitter.com/realDonaldTrump/status/968825596133478400
10.2K,"1,347",63K,26,26,"The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better time doing something, and especially since this is for the American People!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,9:42 AM,"Mar 4, 2018",970353692938469377,https://www.twitter.com/realDonaldTrump/status/970353692938469377
18.3K,"2,590",78.5K,59,59,"From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulated Trade Deficits of more than 12 Trillion Dollars. Last year we had a Trade Deficit of almost 800 Billion Dollars. Bad Policies & Leadership. Must WIN again!  #MAGA",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:40 AM,"Mar 7, 2018",,https://www.twitter.com/hashtag/MAGA?src=hashtag_click
26.1K,"4,241",112.5K,99,99,"Kim Jong Un talked about denuclearization with the South Korean Representatives, not just a freeze. Also, no missile testing by North Korea during this period of time. Great progress being made but sanctions will remain until an agreement is reached. Meeting being planned!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:08 PM,"Mar 8, 2018",971915531346436096,https://www.twitter.com/realDonaldTrump/status/971915531346436096
"9,663","1,431",56.6K,21,21,"North Korea has not conducted a Missile Test since November 28, 2017 and has promised not to do so through our meetings. I believe they will honor that commitment!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,10:38 AM,"Mar 10, 2018",972542173030879233,https://www.twitter.com/realDonaldTrump/status/972542173030879233
"8,026","1,197",41.7K,20,20,I am very pleased to welcome the opioid memorial to the President's Park in April. I encourage all to visit and remember those who we have lost to this deadly epidemic. We will keep fighting until we defeat the opioid crisis!The White House is partnering with @Interior and @NatlParkService to bring the @NSCsafety's “Prescribed to Death” opioid memorial to the Ellipse near the White House from April 11 to April 18.,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,"Mar 27, 201811:35 AM","Mar 27, 2018",978701966456082433,https://www.twitter.com/realDonaldTrump/status/978701966456082433
16.8K,"5,832",76.1K,60,60,"James Comey is a proven LEAKER & LIAR. Virtually everyone in Washington thought he should be fired for the terrible job he did-until he was, in fact, fired. He leaked CLASSIFIED information, for which he should be prosecuted. He lied to Congress under OATH. He is a weak and.....",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:01 AM,"Apr 13, 2018",984763579210633216,https://www.twitter.com/realDonaldTrump/status/984763579210633216
